               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018921,            0.013559,           0.0052187,             0.83082,             0.92601,             0.92325,             0.76243,            0.014677,            0.015369,           0.0076322,            0.000769,            0.000769,            0.000769
                  37,            0.018388,            0.013243,           0.0053739,             0.83892,             0.90716,             0.92282,             0.76349,            0.014722,            0.015283,           0.0078163,           0.0007624,           0.0007624,           0.0007624
                  38,             0.01834,             0.01324,           0.0052664,             0.84201,             0.92589,             0.92311,             0.76089,            0.015255,            0.015351,           0.0075704,           0.0007558,           0.0007558,           0.0007558
                  39,            0.018257,            0.013013,           0.0052596,             0.80258,             0.89718,             0.88611,             0.73352,            0.014676,            0.015115,           0.0088375,           0.0007492,           0.0007492,           0.0007492
                  40,            0.018024,            0.012893,           0.0052812,              0.8402,              0.9229,             0.92548,             0.76702,            0.014699,            0.015027,           0.0074667,           0.0007426,           0.0007426,           0.0007426
                  41,            0.018074,            0.012895,            0.004976,             0.79754,             0.89048,             0.88665,             0.73509,            0.014303,            0.014881,           0.0083174,            0.000736,            0.000736,            0.000736
                  42,            0.017832,            0.012872,           0.0051678,             0.76169,             0.86309,             0.84857,             0.70064,            0.014654,            0.014843,           0.0093161,           0.0007294,           0.0007294,           0.0007294
                  43,            0.017778,             0.01277,           0.0049224,              0.8262,             0.90364,             0.89482,             0.74142,            0.014443,             0.01477,           0.0083715,           0.0007228,           0.0007228,           0.0007228
                  44,             0.01781,            0.012624,           0.0050215,             0.81156,             0.89514,             0.89422,             0.74374,            0.014172,            0.014684,           0.0085422,           0.0007162,           0.0007162,           0.0007162
                  45,            0.017626,             0.01283,           0.0048991,             0.83175,             0.88957,             0.90269,             0.74431,            0.014617,            0.014699,            0.007842,           0.0007096,           0.0007096,           0.0007096
                  46,            0.017369,            0.012421,           0.0049912,             0.82614,             0.87137,             0.88957,              0.7382,            0.014277,            0.014587,           0.0083779,            0.000703,            0.000703,            0.000703
                  47,            0.017357,            0.012114,           0.0046693,             0.77959,             0.87861,             0.86473,             0.71769,            0.014266,             0.01448,           0.0095145,           0.0006964,           0.0006964,           0.0006964
                  48,            0.017117,            0.012293,           0.0045566,             0.80298,              0.8846,             0.88779,             0.73822,            0.014333,            0.014505,           0.0084472,           0.0006898,           0.0006898,           0.0006898
                  49,            0.016972,            0.012052,           0.0048794,             0.81044,             0.88515,             0.88633,             0.73628,             0.01446,            0.014423,           0.0085161,           0.0006832,           0.0006832,           0.0006832
                  50,            0.016995,            0.012062,           0.0048163,             0.78747,             0.86393,             0.87033,             0.72707,            0.013967,            0.014332,             0.00892,           0.0006766,           0.0006766,           0.0006766
                  51,            0.016857,            0.011845,           0.0047423,             0.76408,             0.86495,             0.85318,             0.71372,            0.013984,            0.014267,           0.0089895,             0.00067,             0.00067,             0.00067
                  52,            0.016654,            0.011703,           0.0045698,             0.82988,             0.88335,             0.90186,             0.75102,            0.014138,            0.014271,           0.0079982,           0.0006634,           0.0006634,           0.0006634
                  53,            0.016785,             0.01201,            0.004593,              0.8295,             0.90081,             0.90957,             0.76184,            0.014047,            0.014146,           0.0075814,           0.0006568,           0.0006568,           0.0006568
                  54,            0.016712,            0.011803,           0.0043425,             0.78977,             0.88517,             0.87461,             0.73217,            0.013931,            0.014089,           0.0085385,           0.0006502,           0.0006502,           0.0006502
                  55,            0.016694,            0.011906,           0.0045403,             0.78897,             0.88344,             0.87812,             0.72961,            0.014123,            0.014137,           0.0085147,           0.0006436,           0.0006436,           0.0006436
                  56,            0.016414,             0.01183,           0.0042635,             0.78233,             0.88745,             0.86393,             0.72227,            0.013785,            0.013974,           0.0085508,            0.000637,            0.000637,            0.000637
                  57,            0.016409,            0.011718,           0.0040732,             0.81738,              0.9117,             0.90806,             0.75788,            0.014119,            0.014065,           0.0081136,           0.0006304,           0.0006304,           0.0006304
                  58,            0.016336,            0.011576,           0.0044887,             0.82247,             0.88948,             0.89885,             0.75272,            0.013924,            0.014024,           0.0076771,           0.0006238,           0.0006238,           0.0006238
                  59,            0.016206,            0.011586,           0.0044207,             0.82458,             0.88198,             0.89117,             0.74459,            0.013826,            0.013932,           0.0082206,           0.0006172,           0.0006172,           0.0006172
                  60,            0.016021,            0.011469,           0.0043682,             0.81837,             0.90035,             0.89191,              0.7458,            0.013902,            0.013938,            0.008064,           0.0006106,           0.0006106,           0.0006106
                  61,            0.016078,            0.011286,           0.0042919,             0.81521,             0.89231,             0.90207,             0.75513,            0.013905,            0.013893,           0.0075672,            0.000604,            0.000604,            0.000604
                  62,            0.015995,             0.01131,           0.0042512,             0.82034,             0.87136,             0.88512,             0.74219,            0.013752,            0.013807,           0.0078659,           0.0005974,           0.0005974,           0.0005974
                  63,            0.016089,            0.011297,           0.0044984,             0.80426,             0.88696,             0.89111,             0.74415,            0.013841,            0.013843,           0.0084553,           0.0005908,           0.0005908,           0.0005908
                  64,            0.015874,            0.011273,           0.0041874,             0.80971,             0.87833,             0.87857,              0.7346,            0.013954,            0.013805,           0.0082427,           0.0005842,           0.0005842,           0.0005842
                  65,            0.015853,            0.011385,           0.0041489,             0.79471,             0.90607,             0.88975,             0.74586,            0.013825,            0.013746,            0.008007,           0.0005776,           0.0005776,           0.0005776
                  66,            0.015713,            0.010872,           0.0041866,             0.80626,             0.89965,             0.88757,             0.74458,            0.013789,            0.013725,           0.0078638,            0.000571,            0.000571,            0.000571
                  67,            0.015656,            0.011168,           0.0040523,             0.82565,             0.88392,              0.9003,             0.75364,            0.013737,            0.013689,           0.0080387,           0.0005644,           0.0005644,           0.0005644
                  68,            0.015615,              0.0111,           0.0042139,             0.79112,             0.89807,             0.86828,             0.72842,             0.01375,            0.013691,           0.0081958,           0.0005578,           0.0005578,           0.0005578
                  69,            0.015554,            0.010946,            0.003917,             0.78812,             0.89657,             0.87011,             0.72901,            0.013719,            0.013656,             0.00824,           0.0005512,           0.0005512,           0.0005512
                  70,            0.015439,            0.011101,            0.003997,             0.81845,              0.8963,             0.89813,             0.75272,            0.013776,            0.013678,           0.0080725,           0.0005446,           0.0005446,           0.0005446
                  71,             0.01531,            0.010813,           0.0039735,             0.86054,              0.8727,             0.91139,             0.76488,            0.013668,            0.013604,           0.0073519,            0.000538,            0.000538,            0.000538
                  72,             0.01531,            0.010774,           0.0038951,             0.78899,             0.87785,             0.87016,             0.72857,            0.013889,            0.013644,           0.0087638,           0.0005314,           0.0005314,           0.0005314
                  73,            0.015207,            0.010727,           0.0038995,             0.81896,             0.89122,             0.89446,              0.7502,            0.013598,            0.013527,           0.0080365,           0.0005248,           0.0005248,           0.0005248
                  74,            0.015224,            0.010722,           0.0037392,             0.84237,             0.89214,             0.91258,               0.766,            0.013704,            0.013521,           0.0072217,           0.0005182,           0.0005182,           0.0005182
                  75,            0.015227,            0.010775,           0.0037012,              0.7944,             0.88373,             0.86782,             0.72706,            0.013664,            0.013483,           0.0087532,           0.0005116,           0.0005116,           0.0005116
